"trainer/global_step","arm-170M - eval/arc_easy_acc_norm","arm-170M - eval/arc_easy_acc_norm__MIN","arm-170M - eval/arc_easy_acc_norm__MAX","arm-170M - _step","arm-170M - _step__MIN","arm-170M - _step__MAX","prime-170M-l15 - eval/arc_easy_acc_norm","prime-170M-l15 - eval/arc_easy_acc_norm__MIN","prime-170M-l15 - eval/arc_easy_acc_norm__MAX","prime-170M-l15 - _step","prime-170M-l15 - _step__MIN","prime-170M-l15 - _step__MAX","prime-170M-l3 - eval/arc_easy_acc_norm","prime-170M-l3 - eval/arc_easy_acc_norm__MIN","prime-170M-l3 - eval/arc_easy_acc_norm__MAX","prime-170M-l3 - _step","prime-170M-l3 - _step__MIN","prime-170M-l3 - _step__MAX","prime-170M-l1 - eval/arc_easy_acc_norm","prime-170M-l1 - eval/arc_easy_acc_norm__MIN","prime-170M-l1 - eval/arc_easy_acc_norm__MAX","prime-170M-l1 - _step","prime-170M-l1 - _step__MIN","prime-170M-l1 - _step__MAX"
"2000","0.29","0.29","0.29","200","200","200","0.29","0.29","0.29","200","200","200","0.29","0.29","0.29","200","200","200","0.24","0.24","0.24","200","200","200"
"4000","0.29","0.29","0.29","402","402","402","0.33","0.33","0.33","402","402","402","0.28","0.28","0.28","402","402","402","0.2","0.2","0.2","402","402","402"
"6000","0.32","0.32","0.32","604","604","604","0.33","0.33","0.33","604","604","604","0.29","0.29","0.29","604","604","604","0.21","0.21","0.21","604","604","604"
"8000","0.31","0.31","0.31","806","806","806","0.36","0.36","0.36","806","806","806","0.24","0.24","0.24","806","806","806","0.24","0.24","0.24","806","806","806"
"10000","0.36","0.36","0.36","1008","1008","1008","0.34","0.34","0.34","1008","1008","1008","0.33","0.33","0.33","1008","1008","1008","0.23","0.23","0.23","1008","1008","1008"
"12000","0.36","0.36","0.36","1210","1210","1210","0.4","0.4","0.4","1210","1210","1210","0.29","0.29","0.29","1210","1210","1210","0.23","0.23","0.23","1210","1210","1210"
"14000","0.34","0.34","0.34","1412","1412","1412","0.35","0.35","0.35","1412","1412","1412","0.32","0.32","0.32","1412","1412","1412","0.26","0.26","0.26","1412","1412","1412"
"16000","0.34","0.34","0.34","1614","1614","1614","0.4","0.4","0.4","1614","1614","1614","0.35","0.35","0.35","1614","1614","1614","0.26","0.26","0.26","1614","1614","1614"
"18000","0.36","0.36","0.36","1816","1816","1816","0.39","0.39","0.39","1816","1816","1816","0.35","0.35","0.35","1816","1816","1816","0.25","0.25","0.25","1816","1816","1816"
"20000","0.37","0.37","0.37","2018","2018","2018","0.38","0.38","0.38","2018","2018","2018","0.33","0.33","0.33","2018","2018","2018","0.23","0.23","0.23","2018","2018","2018"
"22000","0.36","0.36","0.36","2220","2220","2220","0.35","0.35","0.35","2220","2220","2220","0.31","0.31","0.31","2220","2220","2220","0.25","0.25","0.25","2220","2220","2220"
"24000","0.39","0.39","0.39","2422","2422","2422","0.35","0.35","0.35","2422","2422","2422","0.35","0.35","0.35","2422","2422","2422","0.25","0.25","0.25","2422","2422","2422"
"26000","0.42","0.42","0.42","2624","2624","2624","0.39","0.39","0.39","2624","2624","2624","0.37","0.37","0.37","100","100","100","0.27","0.27","0.27","2624","2624","2624"
"28000","0.35","0.35","0.35","2826","2826","2826","0.39","0.39","0.39","2826","2826","2826","0.35","0.35","0.35","302","302","302","0.28","0.28","0.28","2826","2826","2826"
"30000","0.42","0.42","0.42","3028","3028","3028","0.38","0.38","0.38","3028","3028","3028","0.35","0.35","0.35","504","504","504","0.3","0.3","0.3","3028","3028","3028"
"32000","0.35","0.35","0.35","3230","3230","3230","0.36","0.36","0.36","3230","3230","3230","0.34","0.34","0.34","706","706","706","0.26","0.26","0.26","3230","3230","3230"
"34000","0.39","0.39","0.39","3432","3432","3432","0.4","0.4","0.4","3432","3432","3432","0.31","0.31","0.31","908","908","908","0.31","0.31","0.31","3432","3432","3432"
"36000","0.36","0.36","0.36","3634","3634","3634","0.34","0.34","0.34","3634","3634","3634","0.32","0.32","0.32","1110","1110","1110","0.27","0.27","0.27","100","100","100"
"38000","0.38","0.38","0.38","3836","3836","3836","0.34","0.34","0.34","3836","3836","3836","0.36","0.36","0.36","1312","1312","1312","0.27","0.27","0.27","302","302","302"
"40000","0.42","0.42","0.42","4038","4038","4038","0.36","0.36","0.36","4038","4038","4038","0.33","0.33","0.33","1514","1514","1514","0.24","0.24","0.24","504","504","504"
"42000","0.415","0.41","0.42","2220","200","4240","0.34","0.34","0.34","200","200","200","0.33","0.33","0.33","1716","1716","1716","0.3","0.3","0.3","706","706","706"
"44000","0.37","0.37","0.37","402","402","402","0.4","0.4","0.4","402","402","402","0.35","0.35","0.35","1918","1918","1918","0.29","0.29","0.29","908","908","908"
"46000","0.39","0.39","0.39","604","604","604","0.375","0.37","0.38","352","100","604","0.39","0.39","0.39","2120","2120","2120","0.24","0.24","0.24","1110","1110","1110"
"48000","0.4","0.4","0.4","806","806","806","0.37","0.37","0.37","302","302","302","0.37","0.37","0.37","2322","2322","2322","0.29","0.29","0.29","1312","1312","1312"
"50000","0.4","0.4","0.4","1008","1008","1008","0.41","0.41","0.41","504","504","504","0.36","0.36","0.36","2524","2524","2524","0.3","0.3","0.3","1514","1514","1514"
